Helenium flexuosum,Augochlorella aurata
Helenium flexuosum,Lasioglossum hitchensi
Pycnanthemum tenuifolium,Lasioglossum versatum
Origanum vulgare,Bombus bimaculatus
Agastache foeniculum,Lasioglossum coreopsis
Agastache foeniculum,Anthidiellum notatum
Lotus corniculatus,Anthidiellum notatum
Lotus corniculatus,Bombus impatiens
Daucus carota,Megachile mendica
Daucus carota,Bombus griseocollis
Helenium flexuosum,Halictus poeyi/ligatus
,Bombus fervidus
Trifolium pratense,Halictus poeyi/ligatus
Trifolium pratense,Bombus impatiens
Daucus carota,Bombus citrinus
Cichorium intybus,Halictus poeyi/ligatus
Cichorium intybus,Agapostemon texanus
Cichorium intybus,Halictus parallelus
Cichorium intybus,Agapostemon splendens
Cosmos bipinnatus,Nomada vegana
Origanum vulgare,Bombus citrinus
Helenium flexuosum,Ceratina calcarata
Rudbeckia triloba,Megachile mendica
Daucus carota,Lasioglossum weemsi
Helenium flexuosum,Augochloropsis metallica_metallica
Chamaecrista fasciculata,Lasioglossum oblongum
Cichorium intybus,Augochlorella aurata
Cichorium intybus,Bombus citrinus
Agastache foeniculum,Lasioglossum hitchensi
Agastache foeniculum,Augochlorella aurata
,Stelis louisae
Chamaecrista fasciculata,Megachile mendica
Helenium flexuosum,Lasioglossum pectorale
Helenium flexuosum,Stelis louisae
Rudbeckia triloba,Lasioglossum hitchensi
Rudbeckia triloba,Lasioglossum vierecki
Daucus carota,Agapostemon virescens
Daucus carota,Lasioglossum
Cichorium intybus,Lasioglossum versatum
Cichorium intybus,Lasioglossum pilosum
Rudbeckia triloba,Lasioglossum coriaceum
Rudbeckia triloba,Lasioglossum coreopsis
Rudbeckia triloba,Augochloropsis metallica_metallica
Rudbeckia triloba,Lasioglossum versatum
Rudbeckia triloba,Bombus impatiens
Helenium flexuosum,Bombus impatiens
Chamaecrista fasciculata,NA
,Svastra obliqua
Cichorium intybus,Bombus impatiens
Daucus carota,Bombus pensylvanicus
Cosmos bipinnatus,Calliopsis andreniformis
Trifolium pratense,Lasioglossum pilosum
Rudbeckia triloba,Lasioglossum trigeminum
,Melissodes denticulata
Cosmos bipinnatus,Bombus pensylvanicus
Trifolium pratense,Lasioglossum callidum
Cichorium intybus,Lasioglossum trigeminum
,Lasioglossum leucocomum
,Megachile georgica
Rudbeckia triloba,Augochlorella aurata
Cosmos bipinnatus,Bombus fervidus/pensylvanicus
Cichorium intybus,Lasioglossum imitatum
Cichorium intybus,Lasioglossum
Chamaecrista fasciculata,Lasioglossum versatum
Daucus carota,Ceratina
,Coelioxys octodentata
,Megachile inimica
Cosmos bipinnatus,Bombus griseocollis
Cosmos bipinnatus,Lasioglossum vierecki
Daucus carota,Ceratina strenua
Rudbeckia triloba,Lasioglossum subviridatum
Rudbeckia triloba,Lasioglossum pilosum
Rudbeckia triloba,Ceratina calcarata
Cosmos bipinnatus,Megachile petulans
Cosmos bipinnatus,Megachile mendica
Cichorium intybus,Ceratina calcarata
Cichorium intybus,Ceratina
Chamaecrista nictitans,Lasioglossum versatum
Bidens aristosa,Ceratina calcarata
Symphyotrichum laeve,Halictus poeyi/ligatus
,Ptilothrix bombiformis
Trifolium pratense,Agapostemon texanus
,Pseudopanurgus near_labrosiformis
Bidens aristosa,Bombus impatiens
Bidens aristosa,Lasioglossum trigeminum
Bidens aristosa,Apis mellifera
Daucus carota,Lasioglossum vierecki
Symphyotrichum laeve,Ceratina calcarata
Symphyotrichum laeve,Coelioxys octodentata
Symphyotrichum laeve,Megachile mendica
Symphyotrichum laeve,Lasioglossum
,Lasioglossum fuscipenne
Daucus carota,Lasioglossum coeruleum
Symphyotrichum laeve,Agapostemon virescens
Symphyotrichum laeve,Augochlorella aurata
Bidens aristosa,Lasioglossum pilosum
Chamaecrista nictitans,Agapostemon virescens
Cosmos bipinnatus,Megachile brevis
Cichorium intybus,Augochlora pura
Cichorium intybus,Lasioglossum bruneri
Cichorium intybus,Lasioglossum fuscipenne
Cichorium intybus,Coelioxys sayi
Bidens aristosa,Lasioglossum fuscipenne
Bidens aristosa,Agapostemon texanus
Bidens aristosa,Augochloropsis metallica_fulgida
Symphyotrichum laeve,Ceratina strenua
Symphyotrichum laeve,Lasioglossum pilosum
Symphyotrichum laeve,Apis mellifera
Cosmos bipinnatus,Lasioglossum
Cosmos bipinnatus,Coelioxys octodentata
Eupatorium perfoliatum,Ceratina calcarata
Symphyotrichum laeve,Lasioglossum fuscipenne
Symphyotrichum laeve,Agapostemon splendens
Symphyotrichum laeve,Agapostemon texanus
Symphyotrichum laeve,Hylaeus affinis/modestus
Chamaecrista nictitans,Lasioglossum pilosum
Origanum vulgare,Halictus poeyi/ligatus
Trifolium pratense,Apis mellifera
Chamaecrista nictitans,Bombus impatiens
Bidens aristosa,Lasioglossum vierecki
Monarda punctata,Lasioglossum imitatum
Monarda punctata,Lasioglossum trigeminum
Cosmos bipinnatus,Lasioglossum hitchensi
Solidago odora,Bombus impatiens
Trifolium pratense,Agapostemon splendens
Monarda punctata,Lasioglossum
Monarda punctata,Agapostemon splendens
,Megachile montivaga
,Andrena vicina
,Andrena imitatrix/morrisonella
,Andrena erigeniae
,Hylaeus modestus
Solidago odora,Xylocopa virginica
Rudbeckia triloba,Apis mellifera
Chamaecrista fasciculata,Apis mellifera
Melilotus officinalis,Apis mellifera
Pycnanthemum tenuifolium,Apis mellifera
Monarda punctata,Apis mellifera
Solidago odora,Apis mellifera
Leucanthemum vulgare,Apis mellifera
Trifolium repens,Apis mellifera
Papaver rhoeas,Apis mellifera
Asclepias tuberosa,Apis mellifera
Coronilla varia,Apis mellifera
Cichorium intybus,Apis mellifera
